sample	chrom	co_pos_mid	co_pos_min	co_pos_max	co_pos_range	cross	co_from_parent	co_to_parent
all/all/all	Pf3D7_05_v3	0	1	37959	0	all	all	all
all/all/all	Pf3D7_10_v3	0	1	70764	0	all	all	all
all/all/all	Pf3D7_07_v3	0	1	77258	0	all	all	all
all/all/all	Pf3D7_03_v3	0	1	73728	0	all	all	all
all/all/all	Pf3D7_13_v3	0	1	75437	0	all	all	all
all/all/all	Pf3D7_11_v3	0	1	110097	0	all	all	all
all/all/all	Pf3D7_14_v3	0	1	35908	0	all	all	all
all/all/all	Pf3D7_09_v3	0	1	80793	0	all	all	all
all/all/all	Pf3D7_01_v3	0	1	93901	0	all	all	all
all/all/all	Pf3D7_12_v3	0	1	60464	0	all	all	all
all/all/all	Pf3D7_08_v3	0	1	73793	0	all	all	all
all/all/all	Pf3D7_06_v3	0	1	72627	0	all	all	all
all/all/all	Pf3D7_04_v3	0	1	91950	0	all	all	all
all/all/all	Pf3D7_02_v3	0	1	108530	0	all	all	all
all/all/all	Pf3D7_05_v3	0	1321348	1343557	0	all	all	all
all/all/all	Pf3D7_10_v3	0	1571690	1687656	0	all	all	all
all/all/all	Pf3D7_07_v3	0	1381167	1445207	0	all	all	all
all/all/all	Pf3D7_03_v3	0	1001448	1067971	0	all	all	all
all/all/all	Pf3D7_13_v3	0	2787498	2925236	0	all	all	all
all/all/all	Pf3D7_11_v3	0	1934044	2038340	0	all	all	all
all/all/all	Pf3D7_14_v3	0	3254381	3291936	0	all	all	all
all/all/all	Pf3D7_09_v3	0	1473413	1541735	0	all	all	all
all/all/all	Pf3D7_01_v3	0	575212	640851	0	all	all	all
all/all/all	Pf3D7_12_v3	0	2162993	2271494	0	all	all	all
all/all/all	Pf3D7_08_v3	0	1364982	1472805	0	all	all	all
all/all/all	Pf3D7_06_v3	0	1294155	1418242	0	all	all	all
all/all/all	Pf3D7_04_v3	0	1142263	1200490	0	all	all	all
all/all/all	Pf3D7_02_v3	0	861651	947102	0	all	all	all
